,gyr_time,gyrX,gyrY,gyrZ
70041,139.19376,-0.69668293,-0.40373522,1.1163971
70042,139.19577,-0.63915867,-0.28442562,1.1989552
70043,139.19776,-0.57897121,-0.14594123,1.2900352
70044,139.19971,-0.51931643,-0.0074568512,1.3736585
70045,139.20173,-0.4596616,0.14008227,1.4562165
70046,139.20368,-0.39787626,0.29028457,1.5425029
70047,139.20566,-0.33981937,0.45060685,1.6154735
70048,139.20762,-0.28336033,0.61732078,1.685781
70049,139.20966,-0.23489082,0.7845673,1.7576864
70050,139.21161,-0.18216023,0.96033591,1.8263959
70051,139.2136,-0.13635385,1.1329087,1.8908445
70052,139.21555,-0.098536961,1.3097427,1.9520971
70053,139.21756,-0.056991648,1.4801849,2.0096214
70054,139.21955,-0.020772656,1.6506273,2.0570257
70055,139.22153,0.013315806,1.816276,2.1001689
70056,139.22348,0.047936901,1.9781961,2.1363878
70057,139.22547,0.075101145,2.1273332,2.1571605
70058,139.22745,0.099069595,2.2679479,2.1544974
70059,139.2295,0.12197278,2.4021714,2.1374531
70060,139.23139,0.15073492,2.5422537,2.1060278
70061,139.23337,0.16990969,2.684999,2.0634172
70062,139.23536,0.19121496,2.8352013,2.0106866
70063,139.23737,0.20719394,2.9885995,1.947836
70064,139.23932,0.22210763,3.1419976,1.8769959
70065,139.24134,0.23489082,3.294863,1.8088191
70066,139.24335,0.24820662,3.4418695,1.7353158
70067,139.24534,0.26045716,3.5798211,1.6607473
70068,139.24729,0.27164245,3.7017939,1.5893745
70069,139.2493,0.28282771,3.8051245,1.5217303
70070,139.25129,0.29454562,3.8914111,1.4583471
70071,139.25324,0.30945933,3.9537289,1.3949639
70072,139.25519,0.32863408,3.9926112,1.33957
70073,139.25721,0.34727621,4.0053945,1.2921658
70074,139.25922,0.36911413,3.9920785,1.2506205
70075,139.2612,0.39308259,3.9531963,1.2191951
70076,139.26316,0.41758367,3.8940742,1.194694
70077,139.26514,0.4415521,3.8131142,1.1851068
70078,139.26716,0.46552056,3.7172403,1.1840415
70079,139.26917,0.49215218,3.6096487,1.1888351
70080,139.27112,0.51292485,3.4876759,1.2080098
70081,139.27311,0.53476274,3.3651705,1.2293152
70082,139.27512,0.55393749,3.2320123,1.2580773
70083,139.27713,0.56885123,3.0993869,1.2958943
70084,139.27909,0.57950389,2.9614351,1.3315805
70085,139.2811,0.5901565,2.8218856,1.3720607
70086,139.28309,0.59654808,2.6844664,1.4125407
70087,139.28507,0.59814602,2.5438516,1.4540859
70088,139.28702,0.59867865,2.4074976,1.5009576
70089,139.28907,0.59548283,2.2743397,1.546764
70090,139.29102,0.58483016,2.1411815,1.5925703
70091,139.293,0.57630807,2.0032299,1.6362462
70092,139.29496,0.5587312,1.8764633,1.6836505
70093,139.29697,0.54381752,1.7454358,1.7294569
70094,139.29899,0.52197957,1.6186694,1.7752632
70095,139.30094,0.50014168,1.4929681,1.8210696
70096,139.30289,0.49055427,1.4290522,1.8407769
70097,139.30491,0.4628574,1.3097427,1.8833876
70098,139.30692,0.43356264,1.1872373,1.9270633
70099,139.30893,0.38935417,1.0066749,1.9867182
70100,139.31086,0.37230992,0.94755274,2.0042951
70101,139.31287,0.33981937,0.82984102,2.0389161
70102,139.31488,0.30573091,0.71266192,2.0714068
70103,139.3169,0.27110979,0.59441757,2.0985711
70104,139.31882,0.23861924,0.47883639,2.1257353
70105,139.32081,0.20612867,0.3584615,2.1528995
70106,139.32279,0.17044231,0.23755397,2.1726069
70107,139.32477,0.13262543,0.11185277,2.1907163
70108,139.32673,0.095873803,-0.012783173,2.2061627
70109,139.32874,0.060720075,-0.1438107,2.2237396
70110,139.33069,0.021305289,-0.2806972,2.2327943
70111,139.33271,-0.021305289,-0.42184472,2.2445123
70112,139.33475,-0.058589544,-0.5635249,2.2540996
70113,139.33674,-0.09640643,-0.69561768,2.2626216
70114,139.33872,-0.13049489,-0.83197153,2.26635
70115,139.3407,-0.1587244,-0.96086854,2.2743397
70116,139.34266,-0.18056233,-1.0796455,2.2706113
70117,139.34461,-0.20026971,-1.1941614,2.2684808
70118,139.34659,-0.2130529,-1.3006879,2.2610238
70119,139.34864,-0.22423817,-1.4029533,2.249306
70120,139.35053,-0.23009712,-1.4945661,2.2333269
70121,139.35251,-0.23329292,-1.5877767,2.211489
70122,139.3545,-0.23382555,-1.6698021,2.1864552
70123,139.35651,-0.23222765,-1.7544906,2.1619542
70124,139.35846,-0.22849922,-1.8354506,2.1331921
70125,139.36048,-0.2247708,-1.9164108,2.1054952
70126,139.36249,-0.21997711,-1.9904467,2.0724721
70127,139.36445,-0.21092236,-2.0639498,2.0399814
70128,139.3664,-0.20026971,-2.1337247,2.0085561
70129,139.36844,-0.18642128,-2.2008364,1.9728698
70130,139.3704,-0.16831179,-2.2668827,1.9398465
70131,139.37238,-0.15339808,-2.3377228,1.9084213
70132,139.37433,-0.13741912,-2.4154871,1.8785939
70133,139.37635,-0.11877698,-2.5044367,1.8482338
70134,139.37836,-0.10546118,-2.6072347,1.8232001
70135,139.38035,-0.085753791,-2.7276096,1.7939054
70136,139.3823,-0.069774821,-2.8591697,1.7672738
70137,139.38431,-0.049534798,-3.0019152,1.7369137
70138,139.38633,-0.028762139,-3.1483891,1.7113473
70139,139.38834,-0.0031957934,-3.3065808,1.6841831
70140,139.39026,0.02609898,-3.4669032,1.6575515
